Home Team,Away Team,Home Score,Away Score
Manchester United,Leicester City,2,1
Newcastle United,Tottenham Hotspur,1,2
Bournemouth,Cardiff,2,0
Fulham,Crystal Palace,0,2
Huddersfield,Chelsea,0,3
Watford,Brighton & Hove Albion,2,0
Wolverhampton Wanderers,Everton,2,2
Liverpool,West Ham United,4,0
Southampton,Burnley,0,0
Arsenal,Manchester City,0,2
Cardiff,Newcastle United,0,0
Everton,Southampton,2,1
Leicester City,Wolverhampton Wanderers,2,0
Tottenham Hotspur,Fulham,3,1
West Ham United,Bournemouth,1,2
Chelsea,Arsenal,3,2
Burnley,Watford,1,3
Manchester City,Huddersfield,6,1
Brighton & Hove Albion,Manchester United,3,2
Crystal Palace,Liverpool,0,2
Wolverhampton Wanderers,Manchester City,1,1
Arsenal,West Ham United,3,1
Bournemouth,Everton,2,2
Huddersfield,Cardiff,0,0
Southampton,Leicester City,1,2
Liverpool,Brighton & Hove Albion,1,0
Watford,Crystal Palace,2,1
Fulham,Burnley,4,2
Newcastle United,Chelsea,1,2
Manchester United,Tottenham Hotspur,0,3
Leicester City,Liverpool,1,2
Brighton & Hove Albion,Fulham,2,2
Chelsea,Bournemouth,2,0
Crystal Palace,Southampton,0,2
Everton,Huddersfield,1,1
West Ham United,Wolverhampton Wanderers,0,1
Manchester City,Newcastle United,2,1
Cardiff,Arsenal,2,3
Burnley,Manchester United,0,2
Watford,Tottenham Hotspur,2,1
Tottenham Hotspur,Liverpool,1,2
Bournemouth,Leicester City,4,2
Chelsea,Cardiff,4,1
Huddersfield,Crystal Palace,0,1
Manchester City,Fulham,3,0
Newcastle United,Arsenal,1,2
Watford,Manchester United,1,2
Wolverhampton Wanderers,Burnley,1,0
Everton,West Ham United,1,3
Southampton,Brighton & Hove Albion,2,2
Fulham,Watford,1,1
Burnley,Bournemouth,4,0
Cardiff,Manchester City,0,5
Crystal Palace,Newcastle United,0,0
Leicester City,Huddersfield,3,1
Liverpool,Southampton,3,0
Manchester United,Wolverhampton Wanderers,1,1
Brighton & Hove Albion,Tottenham Hotspur,1,2
West Ham United,Chelsea,0,0
Arsenal,Everton,2,0
West Ham United,Manchester United,3,1
Arsenal,Watford,2,0
Everton,Fulham,3,0
Huddersfield,Tottenham Hotspur,0,2
Manchester City,Brighton & Hove Albion,2,0
Newcastle United,Leicester City,0,2
Wolverhampton Wanderers,Southampton,2,0
Chelsea,Liverpool,1,1
Cardiff,Burnley,1,2
Bournemouth,Crystal Palace,2,1
Brighton & Hove Albion,West Ham United,1,0
Burnley,Huddersfield,1,1
Crystal Palace,Wolverhampton Wanderers,0,1
Leicester City,Everton,1,2
Tottenham Hotspur,Cardiff,1,0
Watford,Bournemouth,0,4
Manchester United,Newcastle United,3,2
Fulham,Arsenal,1,5
Southampton,Chelsea,0,3
Liverpool,Manchester City,0,0
Chelsea,Manchester United,2,2
Bournemouth,Southampton,0,0
Cardiff,Fulham,4,2
Manchester City,Burnley,5,0
Newcastle United,Brighton & Hove Albion,0,1
West Ham United,Tottenham Hotspur,0,1
Wolverhampton Wanderers,Watford,0,2
Huddersfield,Liverpool,0,1
Everton,Crystal Palace,2,0
Arsenal,Leicester City,3,1
Brighton & Hove Albion,Wolverhampton Wanderers,1,0
Fulham,Bournemouth,0,3
Liverpool,Cardiff,4,1
Southampton,Newcastle United,0,0
Watford,Huddersfield,3,0
Leicester City,West Ham United,1,1
Burnley,Chelsea,0,4
Crystal Palace,Arsenal,2,2
Manchester United,Everton,2,1
Tottenham Hotspur,Manchester City,0,1
Bournemouth,Manchester United,1,2
Cardiff,Leicester City,0,1
Everton,Brighton & Hove Albion,3,1
Newcastle United,Watford,1,0
West Ham United,Burnley,4,2
Arsenal,Liverpool,1,1
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Manchester City,Southampton,6,1
Chelsea,Crystal Palace,3,1
Huddersfield,Fulham,1,0
Cardiff,Brighton & Hove Albion,2,1
Huddersfield,West Ham United,1,1
Leicester City,Burnley,0,0
Newcastle United,Bournemouth,2,1
Southampton,Watford,1,1
Crystal Palace,Tottenham Hotspur,0,1
Liverpool,Fulham,2,0
Chelsea,Everton,0,0
Arsenal,Wolverhampton Wanderers,1,1
Manchester City,Manchester United,3,1
Brighton & Hove Albion,Leicester City,1,1
Everton,Cardiff,1,0
Fulham,Southampton,3,2
Manchester United,Crystal Palace,0,0
Watford,Liverpool,0,3
West Ham United,Manchester City,0,4
Tottenham Hotspur,Chelsea,3,1
Bournemouth,Arsenal,1,2
Wolverhampton Wanderers,Huddersfield,0,2
Burnley,Newcastle United,1,2
Cardiff,Wolverhampton Wanderers,2,1
Crystal Palace,Burnley,2,0
Huddersfield,Brighton & Hove Albion,1,2
Leicester City,Watford,2,0
Manchester City,Bournemouth,3,1
Newcastle United,West Ham United,0,3
Southampton,Manchester United,2,2
Chelsea,Fulham,2,0
Arsenal,Tottenham Hotspur,4,2
Liverpool,Everton,1,0
Bournemouth,Huddersfield,2,1
Brighton & Hove Albion,Crystal Palace,3,1
West Ham United,Cardiff,3,1
Watford,Manchester City,1,2
Burnley,Liverpool,1,3
Fulham,Leicester City,1,1
Wolverhampton Wanderers,Chelsea,2,1
Everton,Newcastle United,1,1
Manchester United,Arsenal,2,2
Tottenham Hotspur,Southampton,3,1
Bournemouth,Liverpool,0,4
Arsenal,Huddersfield,1,0
Burnley,Brighton & Hove Albion,1,0
Cardiff,Southampton,1,0
Manchester United,Fulham,4,1
West Ham United,Crystal Palace,3,2
Chelsea,Manchester City,2,0
Leicester City,Tottenham Hotspur,0,2
Newcastle United,Wolverhampton Wanderers,1,2
Everton,Watford,2,2
Manchester City,Everton,3,1
Crystal Palace,Leicester City,1,0
Huddersfield,Newcastle United,0,1
Tottenham Hotspur,Burnley,1,0
Watford,Cardiff,3,2
Wolverhampton Wanderers,Bournemouth,2,0
Fulham,West Ham United,0,2
Brighton & Hove Albion,Chelsea,1,2
Southampton,Arsenal,3,2
Liverpool,Manchester United,3,1
Wolverhampton Wanderers,Liverpool,0,2
Arsenal,Burnley,3,1
Bournemouth,Brighton & Hove Albion,2,0
Chelsea,Leicester City,0,1
Huddersfield,Southampton,1,3
Manchester City,Crystal Palace,2,3
Newcastle United,Fulham,0,0
West Ham United,Watford,0,2
Cardiff,Manchester United,1,5
Everton,Tottenham Hotspur,2,6
Fulham,Wolverhampton Wanderers,1,1
Burnley,Everton,1,5
Crystal Palace,Cardiff,0,0
Leicester City,Manchester City,2,1
Liverpool,Newcastle United,4,0
Manchester United,Huddersfield,3,1
Tottenham Hotspur,Bournemouth,5,0
Brighton & Hove Albion,Arsenal,1,1
Watford,Chelsea,1,2
Southampton,West Ham United,1,2
Brighton & Hove Albion,Everton,1,0
Fulham,Huddersfield,1,0
Leicester City,Cardiff,0,1
Tottenham Hotspur,Wolverhampton Wanderers,1,3
Watford,Newcastle United,1,1
Liverpool,Arsenal,5,1
Crystal Palace,Chelsea,0,1
Burnley,West Ham United,2,0
Southampton,Manchester City,1,3
Manchester United,Bournemouth,4,1
Everton,Leicester City,0,1
Arsenal,Fulham,4,1
Cardiff,Tottenham Hotspur,0,3
Bournemouth,Watford,3,3
Chelsea,Southampton,0,0
Huddersfield,Burnley,1,2
West Ham United,Brighton & Hove Albion,2,2
Wolverhampton Wanderers,Crystal Palace,0,2
Newcastle United,Manchester United,0,2
Manchester City,Liverpool,2,1
West Ham United,Arsenal,1,0
Brighton & Hove Albion,Liverpool,0,1
Burnley,Fulham,2,1
Cardiff,Huddersfield,0,0
Crystal Palace,Watford,1,2
Leicester City,Southampton,1,2
Chelsea,Newcastle United,2,1
Everton,Bournemouth,2,0
Tottenham Hotspur,Manchester United,0,1
Manchester City,Wolverhampton Wanderers,3,0
Wolverhampton Wanderers,Leicester City,4,3
Bournemouth,West Ham United,2,0
Liverpool,Crystal Palace,4,3
Manchester United,Brighton & Hove Albion,2,1
Newcastle United,Cardiff,3,0
Southampton,Everton,2,1
Watford,Burnley,0,0
Arsenal,Chelsea,2,0
Huddersfield,Manchester City,0,3
Fulham,Tottenham Hotspur,1,2
Arsenal,Cardiff,2,1
Fulham,Brighton & Hove Albion,4,2
Huddersfield,Everton,0,1
Wolverhampton Wanderers,West Ham United,3,0
Manchester United,Burnley,2,2
Newcastle United,Manchester City,2,1
Bournemouth,Chelsea,4,0
Southampton,Crystal Palace,1,1
Liverpool,Leicester City,1,1
Tottenham Hotspur,Watford,2,1
Tottenham Hotspur,Newcastle United,1,0
Brighton & Hove Albion,Watford,0,0
Burnley,Southampton,1,1
Chelsea,Huddersfield,5,0
Crystal Palace,Fulham,2,0
Everton,Wolverhampton Wanderers,1,3
Cardiff,Bournemouth,2,0
Leicester City,Manchester United,0,1
Manchester City,Arsenal,3,1
West Ham United,Liverpool,1,1
Everton,Manchester City,0,2
Fulham,Manchester United,0,3
Crystal Palace,West Ham United,1,1
Huddersfield,Arsenal,1,2
Liverpool,Bournemouth,3,0
Southampton,Cardiff,1,2
Watford,Everton,1,0
Brighton & Hove Albion,Burnley,1,3
Tottenham Hotspur,Leicester City,3,1
Manchester City,Chelsea,6,0
Wolverhampton Wanderers,Newcastle United,1,1
Cardiff,Watford,1,5
West Ham United,Fulham,3,1
Burnley,Tottenham Hotspur,2,1
Bournemouth,Wolverhampton Wanderers,1,1
Newcastle United,Huddersfield,2,0
Leicester City,Crystal Palace,1,4
Arsenal,Southampton,2,0
Manchester United,Liverpool,0,0
Cardiff,Everton,0,3
Huddersfield,Wolverhampton Wanderers,1,0
Leicester City,Brighton & Hove Albion,2,1
Newcastle United,Burnley,2,0
Arsenal,Bournemouth,5,1
Southampton,Fulham,2,0
Crystal Palace,Manchester United,1,3
Chelsea,Tottenham Hotspur,2,0
Liverpool,Watford,5,0
Manchester City,West Ham United,1,0
Tottenham Hotspur,Arsenal,1,1
Bournemouth,Manchester City,0,1
Brighton & Hove Albion,Huddersfield,1,0
Burnley,Crystal Palace,1,3
Manchester United,Southampton,3,2
Wolverhampton Wanderers,Cardiff,2,0
West Ham United,Newcastle United,2,0
Watford,Leicester City,2,1
Fulham,Chelsea,1,2
Everton,Liverpool,0,0
Crystal Palace,Brighton & Hove Albion,1,2
Cardiff,West Ham United,2,0
Huddersfield,Bournemouth,0,2
Leicester City,Fulham,3,1
Newcastle United,Everton,3,2
Southampton,Tottenham Hotspur,2,1
Manchester City,Watford,3,1
Liverpool,Burnley,4,2
Chelsea,Wolverhampton Wanderers,1,1
Arsenal,Manchester United,2,0
Bournemouth,Newcastle United,2,2
Burnley,Leicester City,1,2
West Ham United,Huddersfield,4,3
Fulham,Liverpool,1,2
Everton,Chelsea,2,0
Fulham,Manchester City,0,2
Brighton & Hove Albion,Southampton,0,1
Burnley,Wolverhampton Wanderers,2,0
Crystal Palace,Huddersfield,2,0
Leicester City,Bournemouth,2,0
Manchester United,Watford,2,1
West Ham United,Everton,0,2
Cardiff,Chelsea,1,2
Liverpool,Tottenham Hotspur,2,1
Arsenal,Newcastle United,2,0
Watford,Fulham,4,1
Wolverhampton Wanderers,Manchester United,2,1
Chelsea,Brighton & Hove Albion,3,0
Tottenham Hotspur,Crystal Palace,2,0
Manchester City,Cardiff,2,0
Southampton,Liverpool,1,3
Bournemouth,Burnley,1,3
Huddersfield,Leicester City,1,4
Newcastle United,Crystal Palace,0,1
Everton,Arsenal,1,0
Chelsea,West Ham United,2,0
Leicester City,Newcastle United,0,1
Tottenham Hotspur,Huddersfield,4,0
Brighton & Hove Albion,Bournemouth,0,5
Burnley,Cardiff,2,0
Fulham,Everton,2,0
Southampton,Wolverhampton Wanderers,3,1
Manchester United,West Ham United,2,1
Crystal Palace,Manchester City,1,3
Liverpool,Chelsea,2,0
Watford,Arsenal,0,1
Brighton & Hove Albion,Cardiff,0,2
Manchester City,Tottenham Hotspur,1,0
Bournemouth,Fulham,0,1
Huddersfield,Watford,1,2
West Ham United,Leicester City,2,2
Wolverhampton Wanderers,Brighton & Hove Albion,0,0
Newcastle United,Southampton,3,1
Everton,Manchester United,4,0
Arsenal,Crystal Palace,2,3
Cardiff,Liverpool,0,2
Chelsea,Burnley,2,2
Watford,Southampton,1,1
Tottenham Hotspur,Brighton & Hove Albion,1,0
Wolverhampton Wanderers,Arsenal,3,1
Manchester United,Manchester City,0,2
Liverpool,Huddersfield,5,0
Tottenham Hotspur,West Ham United,0,1
Crystal Palace,Everton,0,0
Fulham,Cardiff,1,0
Southampton,Bournemouth,3,3
Watford,Wolverhampton Wanderers,1,2
Brighton & Hove Albion,Newcastle United,1,1
Leicester City,Arsenal,3,0
Burnley,Manchester City,0,1
Manchester United,Chelsea,1,1
Everton,Burnley,2,0
Bournemouth,Tottenham Hotspur,1,0
West Ham United,Southampton,3,0
Wolverhampton Wanderers,Fulham,1,0
Cardiff,Crystal Palace,2,3
Newcastle United,Liverpool,2,3
Chelsea,Watford,3,0
Huddersfield,Manchester United,1,1
Arsenal,Brighton & Hove Albion,1,1
Manchester City,Leicester City,1,0
Brighton & Hove Albion,Manchester City,1,4
Burnley,Arsenal,1,3
Crystal Palace,Bournemouth,5,3
Fulham,Newcastle United,0,4
Leicester City,Chelsea,0,0
Liverpool,Wolverhampton Wanderers,2,0
Manchester United,Cardiff,0,2
Southampton,Huddersfield,1,1
Tottenham Hotspur,Everton,2,2
Watford,West Ham United,1,4
Liverpool,Norwich,4,1
West Ham United,Manchester City,0,5
Bournemouth,Sheffield Utd,1,1
Burnley,Southampton,3,0
Crystal Palace,Everton,0,0
Watford,Brighton & Hove Albion,0,3
Tottenham Hotspur,Aston Villa,3,1
Leicester City,Wolverhampton Wanderers,0,0
Newcastle United,Arsenal,0,1
Manchester United,Chelsea,4,0
Arsenal,Burnley,2,1
Aston Villa,Bournemouth,1,2
Brighton & Hove Albion,West Ham United,1,1
Everton,Watford,1,0
Norwich,Newcastle United,3,1
Southampton,Liverpool,1,2
Manchester City,Tottenham Hotspur,2,2
Sheffield Utd,Crystal Palace,1,0
Chelsea,Leicester City,1,1
Wolverhampton Wanderers,Manchester United,1,1
Aston Villa,Everton,2,0
Norwich,Chelsea,2,3
Brighton & Hove Albion,Southampton,0,2
Manchester United,Crystal Palace,1,2
Sheffield Utd,Leicester City,1,2
Watford,West Ham United,1,3
Liverpool,Arsenal,3,1
Bournemouth,Manchester City,1,3
Tottenham Hotspur,Newcastle United,0,1
Wolverhampton Wanderers,Burnley,1,1
Southampton,Manchester United,1,1
Chelsea,Sheffield Utd,2,2
Crystal Palace,Aston Villa,1,0
Leicester City,Bournemouth,3,1
Manchester City,Brighton & Hove Albion,4,0
Newcastle United,Watford,1,1
West Ham United,Norwich,2,0
Burnley,Liverpool,0,3
Everton,Wolverhampton Wanderers,3,2
Arsenal,Tottenham Hotspur,2,2
Liverpool,Newcastle United,3,1
Brighton & Hove Albion,Burnley,1,1
Manchester United,Leicester City,1,0
Sheffield Utd,Southampton,0,1
Tottenham Hotspur,Crystal Palace,4,0
Wolverhampton Wanderers,Chelsea,2,5
Norwich,Manchester City,3,2
Bournemouth,Everton,3,1
Watford,Arsenal,2,2
Aston Villa,West Ham United,0,0
Southampton,Bournemouth,1,3
Leicester City,Tottenham Hotspur,2,1
Burnley,Norwich,2,0
Everton,Sheffield Utd,0,2
Manchester City,Watford,8,0
Newcastle United,Brighton & Hove Albion,0,0
Crystal Palace,Wolverhampton Wanderers,1,1
West Ham United,Manchester United,2,0
Arsenal,Aston Villa,3,2
Chelsea,Liverpool,1,2
Sheffield Utd,Liverpool,0,1
Bournemouth,West Ham United,2,2
Aston Villa,Burnley,2,2
Chelsea,Brighton & Hove Albion,2,0
Crystal Palace,Norwich,2,0
Tottenham Hotspur,Southampton,2,1
Wolverhampton Wanderers,Watford,2,0
Everton,Manchester City,1,3
Leicester City,Newcastle United,5,0
Manchester United,Arsenal,1,1
Brighton & Hove Albion,Tottenham Hotspur,3,0
Burnley,Everton,1,0
Liverpool,Leicester City,2,1
Norwich,Aston Villa,1,5
Watford,Sheffield Utd,0,0
West Ham United,Crystal Palace,1,2
Arsenal,Bournemouth,1,0
Manchester City,Wolverhampton Wanderers,0,2
Southampton,Chelsea,1,4
Newcastle United,Manchester United,1,0
Everton,West Ham United,2,0
Bournemouth,Norwich,0,0
Aston Villa,Brighton & Hove Albion,2,1
Chelsea,Newcastle United,1,0
Leicester City,Burnley,2,1
Tottenham Hotspur,Watford,1,1
Wolverhampton Wanderers,Southampton,1,1
Crystal Palace,Manchester City,0,2
Manchester United,Liverpool,1,1
Sheffield Utd,Arsenal,1,0
Southampton,Leicester City,0,9
Manchester City,Aston Villa,3,0
Brighton & Hove Albion,Everton,3,2
Watford,Bournemouth,0,0
West Ham United,Sheffield Utd,1,1
Burnley,Chelsea,2,4
Newcastle United,Wolverhampton Wanderers,1,1
Arsenal,Crystal Palace,2,2
Liverpool,Tottenham Hotspur,2,1
Norwich,Manchester United,1,3
Bournemouth,Manchester United,1,0
Arsenal,Wolverhampton Wanderers,1,1
Aston Villa,Liverpool,1,2
Brighton & Hove Albion,Norwich,2,0
Manchester City,Southampton,2,1
Sheffield Utd,Burnley,3,0
West Ham United,Newcastle United,2,3
Watford,Chelsea,1,2
Crystal Palace,Leicester City,0,2
Everton,Tottenham Hotspur,1,1
Norwich,Watford,0,2
Chelsea,Crystal Palace,2,0
Burnley,West Ham United,3,0
Newcastle United,Bournemouth,2,1
Southampton,Everton,1,2
Tottenham Hotspur,Sheffield Utd,1,1
Leicester City,Arsenal,2,0
Manchester United,Brighton & Hove Albion,3,1
Wolverhampton Wanderers,Aston Villa,2,1
Liverpool,Manchester City,3,1
West Ham United,Tottenham Hotspur,2,3
Bournemouth,Wolverhampton Wanderers,1,2
Arsenal,Southampton,2,2
Brighton & Hove Albion,Leicester City,0,2
Crystal Palace,Liverpool,1,2
Everton,Norwich,0,2
Watford,Burnley,0,3
Manchester City,Chelsea,2,1
Sheffield Utd,Manchester United,3,3
Aston Villa,Newcastle United,2,0
Newcastle United,Manchester City,2,2
Burnley,Crystal Palace,0,2
Chelsea,West Ham United,0,1
Liverpool,Brighton & Hove Albion,2,1
Tottenham Hotspur,Bournemouth,3,2
Southampton,Watford,2,1
Norwich,Arsenal,2,2
Wolverhampton Wanderers,Sheffield Utd,1,1
Leicester City,Everton,2,1
Manchester United,Aston Villa,2,2
Crystal Palace,Bournemouth,1,0
Burnley,Manchester City,1,4
Leicester City,Watford,2,0
Wolverhampton Wanderers,West Ham United,2,0
Manchester United,Tottenham Hotspur,2,1
Chelsea,Aston Villa,2,1
Southampton,Norwich,2,1
Liverpool,Everton,5,2
Sheffield Utd,Newcastle United,0,2
Arsenal,Brighton & Hove Albion,1,2
Everton,Chelsea,3,1
Bournemouth,Liverpool,0,3
Tottenham Hotspur,Burnley,5,0
Watford,Crystal Palace,0,0
Manchester City,Manchester United,1,2
Aston Villa,Leicester City,1,4
Newcastle United,Southampton,2,1
Norwich,Sheffield Utd,1,2
Brighton & Hove Albion,Wolverhampton Wanderers,2,2
West Ham United,Arsenal,1,3
Liverpool,Watford,2,0
Burnley,Newcastle United,1,0
Chelsea,Bournemouth,0,1
Leicester City,Norwich,1,1
Sheffield Utd,Aston Villa,2,0
Southampton,West Ham United,0,1
Manchester United,Everton,1,1
Wolverhampton Wanderers,Tottenham Hotspur,1,2
Arsenal,Manchester City,0,3
Crystal Palace,Brighton & Hove Albion,1,1
Everton,Arsenal,0,0
Bournemouth,Burnley,0,1
Aston Villa,Southampton,1,3
Brighton & Hove Albion,Sheffield Utd,0,1
Newcastle United,Crystal Palace,1,0
Norwich,Wolverhampton Wanderers,1,2
Manchester City,Leicester City,3,1
Watford,Manchester United,2,0
Tottenham Hotspur,Chelsea,0,2
Tottenham Hotspur,Brighton & Hove Albion,2,1
Bournemouth,Arsenal,1,1
Aston Villa,Norwich,1,0
Chelsea,Southampton,0,2
Crystal Palace,West Ham United,2,1
Everton,Burnley,1,0
Sheffield Utd,Watford,1,1
Manchester United,Newcastle United,4,1
Leicester City,Liverpool,0,4
Wolverhampton Wanderers,Manchester City,3,2
Brighton & Hove Albion,Bournemouth,2,0
Newcastle United,Everton,1,2
Southampton,Crystal Palace,1,1
Watford,Aston Villa,3,0
Norwich,Tottenham Hotspur,2,2
West Ham United,Leicester City,1,2
Burnley,Manchester United,0,2
Arsenal,Chelsea,1,2
Liverpool,Wolverhampton Wanderers,1,0
Manchester City,Sheffield Utd,2,0
Brighton & Hove Albion,Chelsea,1,1
Burnley,Aston Villa,1,2
Newcastle United,Leicester City,0,3
Southampton,Tottenham Hotspur,1,0
Watford,Wolverhampton Wanderers,2,1
Manchester City,Everton,2,1
Norwich,Crystal Palace,1,1
West Ham United,Bournemouth,4,0
Arsenal,Manchester United,2,0
Liverpool,Sheffield Utd,2,0
Sheffield Utd,West Ham United,1,0
Crystal Palace,Arsenal,1,1
Chelsea,Burnley,3,0
Everton,Brighton & Hove Albion,1,0
Leicester City,Southampton,1,2
Manchester United,Norwich,4,0
Wolverhampton Wanderers,Newcastle United,1,1
Tottenham Hotspur,Liverpool,0,1
Bournemouth,Watford,0,3
Aston Villa,Manchester City,1,6
Watford,Tottenham Hotspur,0,0
Arsenal,Sheffield Utd,1,1
Brighton & Hove Albion,Aston Villa,1,1
Manchester City,Crystal Palace,2,2
Norwich,Bournemouth,1,0
Southampton,Wolverhampton Wanderers,2,3
West Ham United,Everton,1,1
Newcastle United,Chelsea,1,0
Burnley,Leicester City,2,1
Liverpool,Manchester United,2,0
Bournemouth,Brighton & Hove Albion,3,1
Aston Villa,Watford,2,1
Everton,Newcastle United,2,2
Sheffield Utd,Manchester City,0,1
Crystal Palace,Southampton,0,2
Chelsea,Arsenal,2,2
