Home Team,Away Team,Home Score,Away Score
Crystal Palace,Newcastle United,1,1
Everton,Watford,2,5
Leeds United,Wolverhampton Wanderers,1,1
Southampton,Burnley,2,2
Brighton & Hove Albion,Manchester City,1,4
Brentford,Leicester City,1,2
West Ham United,Tottenham Hotspur,1,0
Manchester United,Liverpool,0,5
Leicester City,Arsenal,0,2
Burnley,Brentford,3,1
Liverpool,Brighton & Hove Albion,2,2
Manchester City,Crystal Palace,0,2
Newcastle United,Chelsea,0,3
Watford,Southampton,0,1
Tottenham Hotspur,Manchester United,0,3
Norwich,Leeds United,1,2
Aston Villa,West Ham United,1,4
Wolverhampton Wanderers,Everton,2,1
Southampton,Aston Villa,1,0
Manchester United,Manchester City,0,2
Brentford,Norwich,1,2
Chelsea,Burnley,1,1
Crystal Palace,Wolverhampton Wanderers,2,0
Brighton & Hove Albion,Newcastle United,1,1
Arsenal,Watford,1,0
Everton,Tottenham Hotspur,0,0
Leeds United,Leicester City,1,1
West Ham United,Liverpool,3,2
Leicester City,Chelsea,0,3
Aston Villa,Brighton & Hove Albion,2,0
Burnley,Crystal Palace,3,3
Newcastle United,Brentford,3,3
Norwich,Southampton,2,1
Watford,Manchester United,4,1
Wolverhampton Wanderers,West Ham United,1,0
Liverpool,Arsenal,4,0
Manchester City,Everton,3,0
Tottenham Hotspur,Leeds United,2,1
Arsenal,Newcastle United,2,0
Crystal Palace,Aston Villa,1,2
Liverpool,Southampton,4,0
Norwich,Wolverhampton Wanderers,0,0
Brighton & Hove Albion,Leeds United,0,0
Brentford,Everton,1,0
Leicester City,Watford,4,2
Manchester City,West Ham United,2,1
Chelsea,Manchester United,1,1
Burnley,Tottenham Hotspur,1,0
Newcastle United,Norwich,1,1
Leeds United,Crystal Palace,1,0
Watford,Chelsea,1,2
West Ham United,Brighton & Hove Albion,1,1
Wolverhampton Wanderers,Burnley,0,0
Southampton,Leicester City,2,2
Aston Villa,Manchester City,1,2
Everton,Liverpool,1,4
Tottenham Hotspur,Brentford,2,0
Manchester United,Arsenal,3,2
West Ham United,Chelsea,3,2
Newcastle United,Burnley,1,0
Southampton,Brighton & Hove Albion,1,1
Wolverhampton Wanderers,Liverpool,0,1
Watford,Manchester City,1,3
Leeds United,Brentford,2,2
Manchester United,Crystal Palace,1,0
Tottenham Hotspur,Norwich,3,0
Aston Villa,Leicester City,2,1
Everton,Arsenal,2,1
Brentford,Watford,2,1
Manchester City,Wolverhampton Wanderers,1,0
Arsenal,Southampton,3,0
Chelsea,Leeds United,3,2
Liverpool,Aston Villa,1,0
Norwich,Manchester United,0,1
Burnley,West Ham United,0,0
Leicester City,Newcastle United,4,0
Crystal Palace,Everton,3,1
Brighton & Hove Albion,Tottenham Hotspur,0,2
Norwich,Aston Villa,0,2
Manchester City,Leeds United,7,0
Brighton & Hove Albion,Wolverhampton Wanderers,0,1
Crystal Palace,Southampton,2,2
Arsenal,West Ham United,2,0
Chelsea,Everton,1,1
Liverpool,Newcastle United,3,1
Leicester City,Tottenham Hotspur,2,3
Brentford,Manchester United,1,3
Burnley,Watford,0,0
Leeds United,Arsenal,1,4
Newcastle United,Manchester City,0,4
Wolverhampton Wanderers,Chelsea,0,0
Tottenham Hotspur,Liverpool,2,2
Southampton,Brentford,4,1
West Ham United,Norwich,2,0
Manchester United,Brighton & Hove Albion,2,0
Watford,Crystal Palace,1,4
Everton,Leicester City,1,1
Manchester City,Leicester City,6,3
Norwich,Arsenal,0,5
Tottenham Hotspur,Crystal Palace,3,0
West Ham United,Southampton,2,3
Aston Villa,Chelsea,1,3
Brighton & Hove Albion,Brentford,2,0
Newcastle United,Manchester United,1,1
Liverpool,Leeds United,6,0
Wolverhampton Wanderers,Watford,4,0
Burnley,Everton,3,2
Crystal Palace,Norwich,3,0
Southampton,Tottenham Hotspur,1,1
Watford,West Ham United,1,4
Leicester City,Liverpool,1,0
Chelsea,Brighton & Hove Albion,1,1
Brentford,Manchester City,0,1
Manchester United,Burnley,3,1
Arsenal,Wolverhampton Wanderers,2,1
Leeds United,Aston Villa,0,3
Everton,Newcastle United,1,0
Arsenal,Manchester City,1,2
Watford,Tottenham Hotspur,0,1
Crystal Palace,West Ham United,2,3
Brentford,Aston Villa,2,1
Everton,Brighton & Hove Albion,2,3
Leeds United,Burnley,3,1
Chelsea,Liverpool,2,2
Manchester United,Wolverhampton Wanderers,0,1
Southampton,Newcastle United,1,2
Leicester City,Norwich,3,0
Brighton & Hove Albion,Crystal Palace,1,1
Manchester City,Chelsea,1,0
Newcastle United,Watford,1,1
Norwich,Everton,2,1
Wolverhampton Wanderers,Southampton,3,1
Aston Villa,Manchester United,2,2
Liverpool,Brentford,3,0
West Ham United,Leeds United,2,3
Burnley,Leicester City,0,2
Tottenham Hotspur,Arsenal,3,0
Watford,Norwich,0,3
Everton,Aston Villa,0,1
Brentford,Wolverhampton Wanderers,1,2
Leeds United,Newcastle United,0,1
Manchester United,West Ham United,1,0
Southampton,Manchester City,1,1
Arsenal,Burnley,0,0
Crystal Palace,Liverpool,1,3
Leicester City,Brighton & Hove Albion,1,1
Chelsea,Tottenham Hotspur,2,0
Brighton & Hove Albion,Chelsea,1,1
West Ham United,Watford,1,0
Newcastle United,Everton,3,1
Burnley,Manchester United,1,1
Norwich,Crystal Palace,1,1
Tottenham Hotspur,Southampton,2,3
Manchester City,Brentford,2,0
Aston Villa,Leeds United,3,3
Wolverhampton Wanderers,Arsenal,0,1
Liverpool,Leicester City,2,0
Manchester United,Southampton,1,1
Brentford,Crystal Palace,0,0
Everton,Leeds United,3,0
Watford,Brighton & Hove Albion,0,2
Norwich,Manchester City,0,4
Burnley,Liverpool,0,1
Newcastle United,Aston Villa,1,0
Tottenham Hotspur,Wolverhampton Wanderers,0,2
Leicester City,West Ham United,2,2
Chelsea,Arsenal,2,4
West Ham United,Newcastle United,1,1
Arsenal,Brentford,2,1
Aston Villa,Watford,0,1
Brighton & Hove Albion,Burnley,0,3
Crystal Palace,Chelsea,0,1
Liverpool,Norwich,3,1
Southampton,Everton,2,0
Manchester City,Tottenham Hotspur,2,3
Leeds United,Manchester United,2,4
Wolverhampton Wanderers,Leicester City,2,1
Southampton,Norwich,2,0
Leeds United,Tottenham Hotspur,0,4
Brentford,Newcastle United,0,2
Crystal Palace,Burnley,1,1
Manchester United,Watford,0,0
Brighton & Hove Albion,Aston Villa,0,2
Everton,Manchester City,0,1
West Ham United,Wolverhampton Wanderers,1,0
Arsenal,Liverpool,0,2
Leicester City,Leeds United,1,0
Aston Villa,Southampton,4,0
Burnley,Chelsea,0,4
Newcastle United,Brighton & Hove Albion,2,1
Norwich,Brentford,1,3
Wolverhampton Wanderers,Crystal Palace,0,2
Liverpool,West Ham United,1,0
Watford,Arsenal,2,3
Manchester City,Manchester United,4,1
Tottenham Hotspur,Everton,5,0
Brighton & Hove Albion,Liverpool,0,2
Brentford,Burnley,2,0
Manchester United,Tottenham Hotspur,3,2
Chelsea,Newcastle United,1,0
Everton,Wolverhampton Wanderers,0,1
Leeds United,Norwich,2,1
Southampton,Watford,1,2
West Ham United,Aston Villa,2,1
Arsenal,Leicester City,2,0
Crystal Palace,Manchester City,0,0
Norwich,Chelsea,1,3
Wolverhampton Wanderers,Leeds United,2,3
Aston Villa,Arsenal,0,1
Leicester City,Brentford,2,1
Tottenham Hotspur,West Ham United,3,1
Liverpool,Manchester United,4,0
Newcastle United,Crystal Palace,1,0
Manchester City,Brighton & Hove Albion,3,0
Burnley,Southampton,2,0
Watford,Everton,0,0
Liverpool,Watford,2,0
Brighton & Hove Albion,Norwich,0,0
Burnley,Manchester City,0,2
Chelsea,Brentford,1,4
Leeds United,Southampton,1,1
Wolverhampton Wanderers,Aston Villa,2,1
Manchester United,Leicester City,1,1
West Ham United,Everton,2,1
Tottenham Hotspur,Newcastle United,5,1
Crystal Palace,Arsenal,3,0
Newcastle United,Wolverhampton Wanderers,1,0
Everton,Manchester United,1,0
Arsenal,Brighton & Hove Albion,1,2
Southampton,Chelsea,0,6
Watford,Leeds United,0,3
Aston Villa,Tottenham Hotspur,0,4
Brentford,West Ham United,2,0
Leicester City,Crystal Palace,2,1
Norwich,Burnley,2,0
Manchester City,Liverpool,2,2
Tottenham Hotspur,Brighton & Hove Albion,0,1
Manchester United,Norwich,3,2
Southampton,Arsenal,1,0
Watford,Brentford,1,2
Newcastle United,Leicester City,2,1
West Ham United,Burnley,1,1
Aston Villa,Liverpool,1,2
Leeds United,Chelsea,0,3
Wolverhampton Wanderers,Manchester City,1,5
Arsenal,Manchester United,3,1
Leicester City,Aston Villa,0,0
Manchester City,Watford,5,1
Norwich,Newcastle United,0,3
Brentford,Tottenham Hotspur,0,0
Brighton & Hove Albion,Southampton,2,2
Burnley,Wolverhampton Wanderers,1,0
Chelsea,West Ham United,1,0
Liverpool,Everton,2,0
Crystal Palace,Leeds United,0,0
Manchester United,Chelsea,1,1
Newcastle United,Liverpool,0,1
Aston Villa,Norwich,2,0
Southampton,Crystal Palace,1,2
Watford,Burnley,1,2
Wolverhampton Wanderers,Brighton & Hove Albion,0,3
Leeds United,Manchester City,0,4
Everton,Chelsea,1,0
Tottenham Hotspur,Leicester City,3,1
West Ham United,Arsenal,1,2
Manchester United,Brentford,3,0
Brentford,Southampton,3,0
Burnley,Aston Villa,1,3
Chelsea,Wolverhampton Wanderers,2,2
Crystal Palace,Watford,1,0
Brighton & Hove Albion,Manchester United,4,0
Liverpool,Tottenham Hotspur,1,1
Arsenal,Leeds United,2,1
Leicester City,Everton,1,2
Norwich,West Ham United,0,4
Manchester City,Newcastle United,5,0
Tottenham Hotspur,Burnley,1,0
Aston Villa,Crystal Palace,1,1
Leeds United,Brighton & Hove Albion,1,1
Watford,Leicester City,1,5
West Ham United,Manchester City,2,2
Wolverhampton Wanderers,Norwich,1,1
Everton,Brentford,2,3
Newcastle United,Arsenal,2,0
Southampton,Liverpool,1,2
Everton,Crystal Palace,3,2
Aston Villa,Burnley,1,1
Chelsea,Leicester City,1,1
Arsenal,Everton,5,1
Brentford,Leeds United,1,2
Brighton & Hove Albion,West Ham United,3,1
Burnley,Newcastle United,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester United,1,0
Leicester City,Southampton,4,1
Liverpool,Wolverhampton Wanderers,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham Hotspur,0,5
Crystal Palace,Arsenal,0,2
Fulham,Liverpool,2,2
Bournemouth,Aston Villa,2,0
Leeds United,Wolverhampton Wanderers,2,1
Newcastle United,Nottingham Forest,2,0
Tottenham Hotspur,Southampton,4,1
Everton,Chelsea,0,1
Leicester City,Brentford,2,2
Manchester United,Brighton & Hove Albion,1,2
West Ham United,Manchester City,0,2
Aston Villa,Everton,2,1
Arsenal,Leicester City,4,2
Brighton & Hove Albion,Newcastle United,0,0
Manchester City,Bournemouth,4,0
Southampton,Leeds United,2,2
Wolverhampton Wanderers,Fulham,0,0
Brentford,Manchester United,4,0
Nottingham Forest,West Ham United,1,0
Chelsea,Tottenham Hotspur,2,2
Liverpool,Crystal Palace,1,1
Tottenham Hotspur,Wolverhampton Wanderers,1,0
Crystal Palace,Aston Villa,3,1
Everton,Nottingham Forest,1,1
Fulham,Brentford,3,2
Leicester City,Southampton,1,2
Bournemouth,Arsenal,0,3
Leeds United,Chelsea,3,0
West Ham United,Brighton & Hove Albion,0,2
Newcastle United,Manchester City,3,3
Manchester United,Liverpool,2,1
Southampton,Manchester United,0,1
Brentford,Everton,1,1
Brighton & Hove Albion,Leeds United,1,0
Chelsea,Leicester City,2,1
Liverpool,Bournemouth,9,0
Manchester City,Crystal Palace,4,2
Arsenal,Fulham,2,1
Aston Villa,West Ham United,0,1
Wolverhampton Wanderers,Newcastle United,1,1
Nottingham Forest,Tottenham Hotspur,0,2
Fulham,Brighton & Hove Albion,2,1
Crystal Palace,Brentford,1,1
Southampton,Chelsea,2,1
Leeds United,Everton,1,1
Bournemouth,Wolverhampton Wanderers,0,0
Arsenal,Aston Villa,2,1
Manchester City,Nottingham Forest,6,0
West Ham United,Tottenham Hotspur,1,1
Liverpool,Newcastle United,2,1
Leicester City,Manchester United,0,1
Everton,Liverpool,0,0
Brentford,Leeds United,5,2
Chelsea,West Ham United,2,1
Newcastle United,Crystal Palace,0,0
Nottingham Forest,Bournemouth,2,3
Tottenham Hotspur,Fulham,2,1
Wolverhampton Wanderers,Southampton,1,0
Aston Villa,Manchester City,1,1
Brighton & Hove Albion,Leicester City,5,2
Manchester United,Arsenal,3,1
Fulham,Chelsea,2,1
Crystal Palace,Manchester United,1,1
Manchester City,Tottenham Hotspur,4,2
Arsenal,Everton,4,0
Liverpool,Wolverhampton Wanderers,2,0
Southampton,Brentford,0,2
Bournemouth,Brighton & Hove Albion,0,2
Leeds United,Nottingham Forest,2,1
Leicester City,Aston Villa,1,2
West Ham United,Newcastle United,1,5
Aston Villa,Southampton,1,0
Nottingham Forest,Fulham,2,3
Wolverhampton Wanderers,Manchester City,0,3
Newcastle United,Bournemouth,1,1
Tottenham Hotspur,Leicester City,6,2
Brentford,Arsenal,0,3
Everton,West Ham United,1,0
Manchester United,Leeds United,2,2
Brighton & Hove Albion,Crystal Palace,1,0
Chelsea,Liverpool,0,0
Arsenal,Tottenham Hotspur,3,1
Bournemouth,Brentford,0,0
Crystal Palace,Chelsea,1,2
Fulham,Newcastle United,1,4
Liverpool,Brighton & Hove Albion,3,3
Southampton,Everton,1,2
West Ham United,Wolverhampton Wanderers,2,0
Manchester City,Manchester United,6,3
Leeds United,Aston Villa,0,0
Leicester City,Nottingham Forest,4,0
Bournemouth,Leicester City,2,1
Chelsea,Wolverhampton Wanderers,3,0
Manchester City,Southampton,4,0
Newcastle United,Brentford,5,1
Brighton & Hove Albion,Tottenham Hotspur,0,1
Crystal Palace,Leeds United,2,1
West Ham United,Fulham,3,1
Arsenal,Liverpool,3,2
Everton,Manchester United,1,2
Nottingham Forest,Aston Villa,1,1
Brentford,Brighton & Hove Albion,2,0
Leicester City,Crystal Palace,0,0
Fulham,Bournemouth,2,2
Wolverhampton Wanderers,Nottingham Forest,1,0
Tottenham Hotspur,Everton,2,0
Aston Villa,Chelsea,0,2
Leeds United,Arsenal,0,1
Manchester United,Newcastle United,0,0
Southampton,West Ham United,1,1
Liverpool,Manchester City,1,0
Brighton & Hove Albion,Nottingham Forest,0,0
Crystal Palace,Wolverhampton Wanderers,2,1
Bournemouth,Southampton,0,1
Brentford,Chelsea,0,0
Newcastle United,Everton,1,0
Liverpool,West Ham United,1,0
Manchester United,Tottenham Hotspur,2,0
Fulham,Aston Villa,3,0
Leicester City,Leeds United,2,0
Arsenal,Manchester City,1,3
Nottingham Forest,Liverpool,1,0
Everton,Crystal Palace,3,0
Manchester City,Brighton & Hove Albion,3,1
Chelsea,Manchester United,1,1
Aston Villa,Brentford,4,0
Leeds United,Fulham,2,3
Southampton,Arsenal,1,1
Wolverhampton Wanderers,Leicester City,0,4
Tottenham Hotspur,Newcastle United,1,2
West Ham United,Bournemouth,2,0
Leicester City,Manchester City,0,1
Bournemouth,Tottenham Hotspur,2,3
Brentford,Wolverhampton Wanderers,1,1
Brighton & Hove Albion,Chelsea,4,1
Crystal Palace,Southampton,1,0
Newcastle United,Aston Villa,4,0
Fulham,Everton,0,0
Liverpool,Leeds United,1,2
Arsenal,Nottingham Forest,5,0
Manchester United,West Ham United,1,0
Leeds United,Bournemouth,4,3
Manchester City,Fulham,2,1
Nottingham Forest,Brentford,2,2
Wolverhampton Wanderers,Brighton & Hove Albion,2,3
Everton,Leicester City,0,2
Chelsea,Arsenal,0,1
Aston Villa,Manchester United,3,1
Southampton,Newcastle United,1,4
West Ham United,Crystal Palace,1,2
Tottenham Hotspur,Liverpool,1,2
Manchester City,Brentford,1,2
Bournemouth,Everton,3,0
Liverpool,Southampton,3,1
Nottingham Forest,Crystal Palace,1,0
Tottenham Hotspur,Leeds United,4,3
West Ham United,Leicester City,0,2
Newcastle United,Chelsea,1,0
Wolverhampton Wanderers,Arsenal,0,2
Brighton & Hove Albion,Aston Villa,1,2
Fulham,Manchester United,1,2
Brentford,Tottenham Hotspur,2,2
Crystal Palace,Fulham,0,3
Everton,Wolverhampton Wanderers,1,2
Leicester City,Newcastle United,0,3
Southampton,Brighton & Hove Albion,1,3
Aston Villa,Liverpool,1,3
Arsenal,West Ham United,3,1
Chelsea,Bournemouth,2,0
Manchester United,Nottingham Forest,3,0
Leeds United,Manchester City,1,3
West Ham United,Brentford,0,2
Liverpool,Leicester City,2,1
Wolverhampton Wanderers,Manchester United,0,1
Bournemouth,Crystal Palace,0,2
Fulham,Southampton,2,1
Manchester City,Everton,1,1
Newcastle United,Leeds United,0,0
Brighton & Hove Albion,Arsenal,2,4
Tottenham Hotspur,Aston Villa,0,2
Nottingham Forest,Chelsea,1,1
Brentford,Liverpool,3,1
Arsenal,Newcastle United,0,0
Everton,Brighton & Hove Albion,1,4
Leicester City,Fulham,0,1
Manchester United,Bournemouth,3,0
Southampton,Nottingham Forest,0,1
Leeds United,West Ham United,2,2
Aston Villa,Wolverhampton Wanderers,1,1
Crystal Palace,Tottenham Hotspur,0,4
Chelsea,Manchester City,0,1
Aston Villa,Leeds United,2,1
Manchester United,Manchester City,2,1
Brighton & Hove Albion,Liverpool,3,0
Everton,Southampton,1,2
Nottingham Forest,Leicester City,2,0
Wolverhampton Wanderers,West Ham United,1,0
Brentford,Bournemouth,2,0
Chelsea,Crystal Palace,1,0
Newcastle United,Fulham,1,0
Tottenham Hotspur,Arsenal,0,2
Liverpool,Chelsea,0,0
Bournemouth,Nottingham Forest,1,1
Leicester City,Brighton & Hove Albion,2,2
Southampton,Aston Villa,0,1
West Ham United,Everton,2,0
Crystal Palace,Newcastle United,0,0
Leeds United,Brentford,0,0
Manchester City,Wolverhampton Wanderers,3,0
Arsenal,Manchester United,3,2
Fulham,Tottenham Hotspur,0,1
Chelsea,Fulham,0,0
Everton,Arsenal,1,0
Aston Villa,Leicester City,2,4
Brentford,Southampton,3,0
Brighton & Hove Albion,Bournemouth,1,0
Manchester United,Crystal Palace,2,1
Wolverhampton Wanderers,Liverpool,3,0
Newcastle United,West Ham United,1,1
Nottingham Forest,Leeds United,1,0
Tottenham Hotspur,Manchester City,1,0
West Ham United,Chelsea,1,1
Arsenal,Brentford,1,1
Crystal Palace,Brighton & Hove Albion,1,1
Fulham,Nottingham Forest,2,0
Leicester City,Tottenham Hotspur,4,1
Southampton,Wolverhampton Wanderers,1,2
Bournemouth,Newcastle United,1,1
Leeds United,Manchester United,0,2
Manchester City,Aston Villa,3,1
Liverpool,Everton,2,0
Aston Villa,Arsenal,2,4
Brentford,Crystal Palace,1,1
Brighton & Hove Albion,Fulham,0,1
Chelsea,Southampton,0,1
Everton,Leeds United,1,0
Nottingham Forest,Manchester City,1,1
Wolverhampton Wanderers,Bournemouth,0,1
Newcastle United,Liverpool,0,2
Manchester United,Leicester City,3,0
Tottenham Hotspur,West Ham United,2,0
Fulham,Wolverhampton Wanderers,1,1
Everton,Aston Villa,0,2
Leeds United,Southampton,1,0
Leicester City,Arsenal,0,1
West Ham United,Nottingham Forest,4,0
Bournemouth,Manchester City,1,4
Crystal Palace,Liverpool,0,0
Tottenham Hotspur,Chelsea,2,0
Manchester United,Brentford,1,0
Manchester City,Newcastle United,2,0
Arsenal,Bournemouth,3,2
Aston Villa,Crystal Palace,1,0
Brighton & Hove Albion,West Ham United,4,0
Chelsea,Leeds United,1,0
Wolverhampton Wanderers,Tottenham Hotspur,1,0
Southampton,Leicester City,1,0
Nottingham Forest,Everton,2,2
Liverpool,Manchester United,7,0
Brentford,Fulham,3,2
Bournemouth,Liverpool,1,0
Everton,Brentford,1,0
Leeds United,Brighton & Hove Albion,2,2
Leicester City,Chelsea,1,3
Tottenham Hotspur,Nottingham Forest,3,1
Crystal Palace,Manchester City,0,1
Fulham,Arsenal,0,3
Manchester United,Southampton,0,0
West Ham United,Aston Villa,1,1
Newcastle United,Wolverhampton Wanderers,2,1
Nottingham Forest,Newcastle United,1,2
Aston Villa,Bournemouth,3,0
Brentford,Leicester City,1,1
Southampton,Tottenham Hotspur,3,3
Wolverhampton Wanderers,Leeds United,2,4
Chelsea,Everton,2,2
Arsenal,Crystal Palace,4,1
Manchester City,Liverpool,4,1
Bournemouth,Fulham,2,1
Arsenal,Leeds United,4,1
Brighton & Hove Albion,Brentford,3,3
Crystal Palace,Leicester City,2,1
Nottingham Forest,Wolverhampton Wanderers,1,1
Chelsea,Aston Villa,0,2
West Ham United,Southampton,1,0
Newcastle United,Manchester United,2,0
Everton,Tottenham Hotspur,1,1
Manchester United,Everton,2,0
Aston Villa,Nottingham Forest,2,0
Brentford,Newcastle United,1,2
Fulham,West Ham United,0,1
Leicester City,Bournemouth,0,1
Tottenham Hotspur,Brighton & Hove Albion,2,1
Wolverhampton Wanderers,Chelsea,1,0
Southampton,Manchester City,1,4
Leeds United,Crystal Palace,1,5
Liverpool,Arsenal,2,2
Aston Villa,Newcastle United,3,0
Chelsea,Brighton & Hove Albion,1,2
Everton,Fulham,1,3
Southampton,Crystal Palace,0,2
Wolverhampton Wanderers,Brentford,2,0
Tottenham Hotspur,Bournemouth,2,3
Manchester City,Leicester City,3,1
West Ham United,Arsenal,2,2
Nottingham Forest,Manchester United,0,2